team,year,day,points,position
aberdeen,1994,0,0,0
hearts,1994,0,0,1
falkirk,1994,0,0,2
celtic,1994,0,0,3
hibernian,1994,0,0,4
dundee united,1994,0,0,5
partick,1994,0,0,6
kilmarnock,1994,0,0,7
rangers,1994,0,0,8
motherwell,1994,0,0,9
aberdeen,1994,1,3,0
hibernian,1994,1,3,1
partick,1994,1,3,2
rangers,1994,1,3,3
falkirk,1994,1,1,4
celtic,1994,1,1,5
hearts,1994,1,0,6
dundee united,1994,1,0,7
kilmarnock,1994,1,0,8
motherwell,1994,1,0,9
rangers,1994,2,6,0
aberdeen,1994,2,4,1
celtic,1994,2,4,2
hibernian,1994,2,4,3
partick,1994,2,3,4
falkirk,1994,2,2,5
hearts,1994,2,1,6
kilmarnock,1994,2,1,7
motherwell,1994,2,1,8
dundee united,1994,2,0,9
celtic,1994,3,7,0
hibernian,1994,3,7,1
rangers,1994,3,6,2
falkirk,1994,3,5,3
aberdeen,1994,3,4,4
motherwell,1994,3,4,5
dundee united,1994,3,3,6
partick,1994,3,3,7
hearts,1994,3,1,8
kilmarnock,1994,3,1,9
celtic,1994,4,10,0
rangers,1994,4,9,1
hibernian,1994,4,8,2
falkirk,1994,4,6,3
aberdeen,1994,4,5,4
motherwell,1994,4,5,5
dundee united,1994,4,4,6
partick,1994,4,3,7
kilmarnock,1994,4,2,8
hearts,1994,4,1,9
rangers,1994,5,12,0
celtic,1994,5,11,1
hibernian,1994,5,9,2
aberdeen,1994,5,6,3
falkirk,1994,5,6,4
motherwell,1994,5,6,5
hearts,1994,5,4,6
dundee united,1994,5,4,7
partick,1994,5,4,8
kilmarnock,1994,5,3,9
celtic,1994,6,14,0
rangers,1994,6,13,1
hibernian,1994,6,9,2
aberdeen,1994,6,7,3
hearts,1994,6,7,4
dundee united,1994,6,7,5
motherwell,1994,6,7,6
falkirk,1994,6,6,7
partick,1994,6,5,8
kilmarnock,1994,6,3,9
rangers,1994,7,16,0
celtic,1994,7,15,1
hibernian,1994,7,12,2
falkirk,1994,7,9,3
motherwell,1994,7,8,4
aberdeen,1994,7,7,5
hearts,1994,7,7,6
dundee united,1994,7,7,7
kilmarnock,1994,7,6,8
partick,1994,7,5,9
celtic,1994,8,16,0
rangers,1994,8,16,1
hibernian,1994,8,15,2
motherwell,1994,8,11,3
hearts,1994,8,10,4
dundee united,1994,8,10,5
falkirk,1994,8,9,6
aberdeen,1994,8,8,7
kilmarnock,1994,8,6,8
partick,1994,8,5,9
rangers,1994,9,19,0
celtic,1994,9,16,1
hibernian,1994,9,16,2
motherwell,1994,9,14,3
hearts,1994,9,13,4
dundee united,1994,9,10,5
falkirk,1994,9,10,6
aberdeen,1994,9,8,7
partick,1994,9,8,8
kilmarnock,1994,9,6,9
rangers,1994,10,19,0
hibernian,1994,10,17,1
motherwell,1994,10,17,2
hearts,1994,10,16,3
celtic,1994,10,16,4
falkirk,1994,10,13,5
dundee united,1994,10,11,6
kilmarnock,1994,10,9,7
aberdeen,1994,10,8,8
partick,1994,10,8,9
rangers,1994,11,22,0
hibernian,1994,11,20,1
motherwell,1994,11,20,2
falkirk,1994,11,16,3
hearts,1994,11,16,4
celtic,1994,11,16,5
aberdeen,1994,11,11,6
dundee united,1994,11,11,7
kilmarnock,1994,11,9,8
partick,1994,11,8,9
rangers,1994,12,25,0
motherwell,1994,12,23,1
hibernian,1994,12,21,2
falkirk,1994,12,19,3
celtic,1994,12,17,4
hearts,1994,12,16,5
dundee united,1994,12,12,6
aberdeen,1994,12,11,7
kilmarnock,1994,12,10,8
partick,1994,12,8,9
rangers,1994,13,26,0
motherwell,1994,13,24,1
hibernian,1994,13,22,2
falkirk,1994,13,20,3
celtic,1994,13,18,4
hearts,1994,13,17,5
dundee united,1994,13,13,6
aberdeen,1994,13,12,7
kilmarnock,1994,13,11,8
partick,1994,13,9,9
rangers,1994,14,27,0
motherwell,1994,14,25,1
hibernian,1994,14,23,2
falkirk,1994,14,21,3
celtic,1994,14,19,4
hearts,1994,14,17,5
dundee united,1994,14,16,6
partick,1994,14,12,7
kilmarnock,1994,14,12,8
aberdeen,1994,14,12,9
rangers,1994,15,30,0
motherwell,1994,15,28,1
hibernian,1994,15,24,2
falkirk,1994,15,21,3
celtic,1994,15,20,4
dundee united,1994,15,19,5
hearts,1994,15,17,6
kilmarnock,1994,15,15,7
partick,1994,15,12,8
aberdeen,1994,15,12,9
rangers,1994,16,33,0
motherwell,1994,16,29,1
hibernian,1994,16,25,2
falkirk,1994,16,22,3
celtic,1994,16,21,4
dundee united,1994,16,19,5
hearts,1994,16,18,6
kilmarnock,1994,16,18,7
partick,1994,16,13,8
aberdeen,1994,16,12,9
rangers,1994,17,36,0
motherwell,1994,17,29,1
hibernian,1994,17,26,2
falkirk,1994,17,23,3
celtic,1994,17,22,4
hearts,1994,17,21,5
dundee united,1994,17,20,6
kilmarnock,1994,17,18,7
aberdeen,1994,17,15,8
partick,1994,17,13,9
rangers,1994,18,39,0
motherwell,1994,18,32,1
hibernian,1994,18,26,2
celtic,1994,18,25,3
falkirk,1994,18,23,4
hearts,1994,18,21,5
dundee united,1994,18,20,6
kilmarnock,1994,18,19,7
aberdeen,1994,18,16,8
partick,1994,18,14,9
rangers,1994,19,42,0
motherwell,1994,19,32,1
hibernian,1994,19,29,2
celtic,1994,19,26,3
hearts,1994,19,24,4
falkirk,1994,19,23,5
dundee united,1994,19,21,6
kilmarnock,1994,19,20,7
aberdeen,1994,19,19,8
partick,1994,19,15,9
rangers,1994,20,43,0
hibernian,1994,20,32,1
motherwell,1994,20,32,2
celtic,1994,20,27,3
hearts,1994,20,25,4
falkirk,1994,20,24,5
dundee united,1994,20,22,6
kilmarnock,1994,20,20,7
aberdeen,1994,20,20,8
partick,1994,20,15,9
rangers,1994,21,44,0
hibernian,1994,21,33,1
motherwell,1994,21,33,2
hearts,1994,21,28,3
celtic,1994,21,28,4
falkirk,1994,21,24,5
dundee united,1994,21,22,6
aberdeen,1994,21,21,7
kilmarnock,1994,21,20,8
partick,1994,21,18,9
rangers,1994,22,47,0
hibernian,1994,22,33,1
motherwell,1994,22,33,2
hearts,1994,22,31,3
celtic,1994,22,31,4
dundee united,1994,22,25,5
falkirk,1994,22,24,6
aberdeen,1994,22,24,7
kilmarnock,1994,22,23,8
partick,1994,22,19,9
rangers,1994,23,50,0
hibernian,1994,23,36,1
motherwell,1994,23,33,2
celtic,1994,23,32,3
hearts,1994,23,31,4
dundee united,1994,23,26,5
kilmarnock,1994,23,26,6
falkirk,1994,23,24,7
aberdeen,1994,23,24,8
partick,1994,23,22,9
rangers,1994,24,51,0
hibernian,1994,24,36,1
motherwell,1994,24,36,2
celtic,1994,24,32,3
hearts,1994,24,31,4
dundee united,1994,24,29,5
kilmarnock,1994,24,29,6
falkirk,1994,24,27,7
aberdeen,1994,24,24,8
partick,1994,24,22,9
rangers,1994,25,51,0
motherwell,1994,25,39,1
hibernian,1994,25,37,2
celtic,1994,25,33,3
hearts,1994,25,32,4
dundee united,1994,25,32,5
kilmarnock,1994,25,30,6
falkirk,1994,25,27,7
aberdeen,1994,25,27,8
partick,1994,25,25,9
rangers,1994,26,54,0
motherwell,1994,26,40,1
hibernian,1994,26,37,2
celtic,1994,26,34,3
hearts,1994,26,33,4
dundee united,1994,26,32,5
kilmarnock,1994,26,30,6
falkirk,1994,26,30,7
aberdeen,1994,26,27,8
partick,1994,26,26,9
rangers,1994,27,55,0
motherwell,1994,27,41,1
hibernian,1994,27,38,2
celtic,1994,27,37,3
hearts,1994,27,36,4
kilmarnock,1994,27,33,5
dundee united,1994,27,32,6
falkirk,1994,27,31,7
partick,1994,27,27,8
aberdeen,1994,27,27,9
rangers,1994,28,56,0
motherwell,1994,28,44,1
celtic,1994,28,40,2
hibernian,1994,28,39,3
hearts,1994,28,37,4
kilmarnock,1994,28,33,5
dundee united,1994,28,32,6
falkirk,1994,28,32,7
aberdeen,1994,28,28,8
partick,1994,28,28,9
rangers,1994,29,56,0
motherwell,1994,29,44,1
hibernian,1994,29,42,2
celtic,1994,29,41,3
hearts,1994,29,37,4
falkirk,1994,29,35,5
dundee united,1994,29,33,6
kilmarnock,1994,29,33,7
partick,1994,29,31,8
aberdeen,1994,29,29,9
rangers,1994,30,59,0
motherwell,1994,30,45,1
hibernian,1994,30,43,2
celtic,1994,30,41,3
falkirk,1994,30,38,4
hearts,1994,30,37,5
kilmarnock,1994,30,36,6
partick,1994,30,34,7
dundee united,1994,30,33,8
aberdeen,1994,30,29,9
rangers,1994,31,62,0
motherwell,1994,31,45,1
hibernian,1994,31,43,2
falkirk,1994,31,41,3
celtic,1994,31,41,4
kilmarnock,1994,31,39,5
hearts,1994,31,37,6
partick,1994,31,37,7
dundee united,1994,31,33,8
aberdeen,1994,31,29,9
rangers,1994,32,65,0
motherwell,1994,32,45,1
celtic,1994,32,44,2
falkirk,1994,32,44,3
hibernian,1994,32,43,4
kilmarnock,1994,32,42,5
hearts,1994,32,37,6
partick,1994,32,37,7
dundee united,1994,32,33,8
aberdeen,1994,32,32,9
rangers,1994,33,68,0
motherwell,1994,33,48,1
falkirk,1994,33,47,2
hibernian,1994,33,46,3
celtic,1994,33,44,4
kilmarnock,1994,33,42,5
hearts,1994,33,40,6
partick,1994,33,38,7
dundee united,1994,33,36,8
aberdeen,1994,33,32,9
rangers,1994,34,68,0
motherwell,1994,34,51,1
hibernian,1994,34,49,2
celtic,1994,34,47,3
falkirk,1994,34,47,4
kilmarnock,1994,34,43,5
partick,1994,34,41,6
hearts,1994,34,40,7
dundee united,1994,34,36,8
aberdeen,1994,34,35,9
rangers,1994,35,68,0
motherwell,1994,35,54,1
hibernian,1994,35,50,2
celtic,1994,35,48,3
falkirk,1994,35,48,4
kilmarnock,1994,35,43,5
partick,1994,35,42,6
hearts,1994,35,40,7
aberdeen,1994,35,38,8
dundee united,1994,35,36,9
rangers,1994,36,69,0
motherwell,1994,36,54,1
hibernian,1994,36,53,2
celtic,1994,36,51,3
falkirk,1994,36,48,4
hearts,1994,36,43,5
partick,1994,36,43,6
kilmarnock,1994,36,43,7
aberdeen,1994,36,41,8
dundee united,1994,36,36,9
falkirk,1995,0,0,0
aberdeen,1995,0,0,1
hearts,1995,0,0,2
motherwell,1995,0,0,3
partick,1995,0,0,4
hibernian,1995,0,0,5
raith rvs,1995,0,0,6
celtic,1995,0,0,7
rangers,1995,0,0,8
kilmarnock,1995,0,0,9
aberdeen,1995,1,3,0
celtic,1995,1,3,1
rangers,1995,1,3,2
hearts,1995,1,1,3
motherwell,1995,1,1,4
partick,1995,1,1,5
hibernian,1995,1,1,6
falkirk,1995,1,0,7
raith rvs,1995,1,0,8
kilmarnock,1995,1,0,9
celtic,1995,2,6,0
rangers,1995,2,6,1
hearts,1995,2,4,2
hibernian,1995,2,4,3
aberdeen,1995,2,3,4
motherwell,1995,2,2,5
partick,1995,2,2,6
falkirk,1995,2,0,7
raith rvs,1995,2,0,8
kilmarnock,1995,2,0,9
rangers,1995,3,9,0
celtic,1995,3,7,1
partick,1995,3,5,2
hibernian,1995,3,5,3
aberdeen,1995,3,4,4
hearts,1995,3,4,5
motherwell,1995,3,3,6
raith rvs,1995,3,3,7
falkirk,1995,3,0,8
kilmarnock,1995,3,0,9
celtic,1995,4,10,0
rangers,1995,4,9,1
hibernian,1995,4,8,2
aberdeen,1995,4,7,3
raith rvs,1995,4,6,4
partick,1995,4,5,5
hearts,1995,4,4,6
motherwell,1995,4,4,7
falkirk,1995,4,1,8
kilmarnock,1995,4,0,9
rangers,1995,5,12,0
celtic,1995,5,10,1
aberdeen,1995,5,10,2
hibernian,1995,5,9,3
motherwell,1995,5,7,4
raith rvs,1995,5,6,5
partick,1995,5,6,6
hearts,1995,5,5,7
falkirk,1995,5,2,8
kilmarnock,1995,5,0,9
rangers,1995,6,15,0
celtic,1995,6,13,1
aberdeen,1995,6,13,2
raith rvs,1995,6,9,3
hibernian,1995,6,9,4
motherwell,1995,6,7,5
partick,1995,6,7,6
hearts,1995,6,5,7
falkirk,1995,6,2,8
kilmarnock,1995,6,1,9
rangers,1995,7,18,0
celtic,1995,7,16,1
aberdeen,1995,7,13,2
raith rvs,1995,7,12,3
hibernian,1995,7,12,4
motherwell,1995,7,7,5
partick,1995,7,7,6
hearts,1995,7,5,7
kilmarnock,1995,7,4,8
falkirk,1995,7,2,9
rangers,1995,8,21,0
celtic,1995,8,17,1
aberdeen,1995,8,13,2
hibernian,1995,8,13,3
raith rvs,1995,8,12,4
motherwell,1995,8,10,5
hearts,1995,8,8,6
partick,1995,8,7,7
kilmarnock,1995,8,7,8
falkirk,1995,8,2,9
rangers,1995,9,24,0
celtic,1995,9,18,1
aberdeen,1995,9,16,2
hibernian,1995,9,16,3
raith rvs,1995,9,12,4
motherwell,1995,9,10,5
kilmarnock,1995,9,8,6
hearts,1995,9,8,7
partick,1995,9,7,8
falkirk,1995,9,5,9
rangers,1995,10,25,0
celtic,1995,10,21,1
hibernian,1995,10,19,2
aberdeen,1995,10,16,3
raith rvs,1995,10,13,4
partick,1995,10,10,5
motherwell,1995,10,10,6
kilmarnock,1995,10,8,7
hearts,1995,10,8,8
falkirk,1995,10,8,9
rangers,1995,11,28,0
celtic,1995,11,24,1
hibernian,1995,11,22,2
aberdeen,1995,11,16,3
raith rvs,1995,11,13,4
kilmarnock,1995,11,11,5
hearts,1995,11,11,6
partick,1995,11,10,7
motherwell,1995,11,10,8
falkirk,1995,11,8,9
rangers,1995,12,31,0
celtic,1995,12,25,1
hibernian,1995,12,22,2
aberdeen,1995,12,19,3
raith rvs,1995,12,14,4
hearts,1995,12,12,5
motherwell,1995,12,11,6
kilmarnock,1995,12,11,7
partick,1995,12,10,8
falkirk,1995,12,8,9
rangers,1995,13,32,0
celtic,1995,13,28,1
hibernian,1995,13,22,2
aberdeen,1995,13,20,3
hearts,1995,13,15,4
raith rvs,1995,13,15,5
partick,1995,13,13,6
motherwell,1995,13,12,7
kilmarnock,1995,13,11,8
falkirk,1995,13,11,9
rangers,1995,14,33,0
celtic,1995,14,29,1
hibernian,1995,14,25,2
aberdeen,1995,14,20,3
hearts,1995,14,18,4
raith rvs,1995,14,18,5
partick,1995,14,13,6
motherwell,1995,14,13,7
kilmarnock,1995,14,12,8
falkirk,1995,14,11,9
rangers,1995,15,36,0
celtic,1995,15,32,1
hibernian,1995,15,25,2
raith rvs,1995,15,21,3
aberdeen,1995,15,20,4
hearts,1995,15,18,5
motherwell,1995,15,14,6
partick,1995,15,13,7
kilmarnock,1995,15,12,8
falkirk,1995,15,12,9
rangers,1995,16,39,0
celtic,1995,16,35,1
hibernian,1995,16,28,2
aberdeen,1995,16,23,3
raith rvs,1995,16,21,4
hearts,1995,16,18,5
partick,1995,16,16,6
kilmarnock,1995,16,15,7
falkirk,1995,16,15,8
motherwell,1995,16,14,9
rangers,1995,17,42,0
celtic,1995,17,38,1
hibernian,1995,17,28,2
aberdeen,1995,17,26,3
raith rvs,1995,17,22,4
hearts,1995,17,19,5
partick,1995,17,16,6
kilmarnock,1995,17,15,7
falkirk,1995,17,15,8
motherwell,1995,17,14,9
rangers,1995,18,43,0
celtic,1995,18,41,1
hibernian,1995,18,28,2
aberdeen,1995,18,26,3
raith rvs,1995,18,25,4
hearts,1995,18,22,5
kilmarnock,1995,18,18,6
partick,1995,18,16,7
falkirk,1995,18,15,8
motherwell,1995,18,15,9
rangers,1995,19,46,0
celtic,1995,19,42,1
aberdeen,1995,19,29,2
hibernian,1995,19,28,3
raith rvs,1995,19,26,4
hearts,1995,19,22,5
kilmarnock,1995,19,18,6
partick,1995,19,16,7
falkirk,1995,19,15,8
motherwell,1995,19,15,9
rangers,1995,20,49,0
celtic,1995,20,45,1
hibernian,1995,20,31,2
aberdeen,1995,20,29,3
raith rvs,1995,20,26,4
hearts,1995,20,25,5
kilmarnock,1995,20,19,6
falkirk,1995,20,18,7
partick,1995,20,16,8
motherwell,1995,20,15,9
rangers,1995,21,50,0
celtic,1995,21,48,1
hibernian,1995,21,31,2
aberdeen,1995,21,30,3
hearts,1995,21,28,4
raith rvs,1995,21,26,5
kilmarnock,1995,21,22,6
partick,1995,21,19,7
falkirk,1995,21,18,8
motherwell,1995,21,15,9
rangers,1995,22,53,0
celtic,1995,22,51,1
aberdeen,1995,22,33,2
hearts,1995,22,31,3
hibernian,1995,22,31,4
raith rvs,1995,22,29,5
kilmarnock,1995,22,25,6
partick,1995,22,20,7
falkirk,1995,22,19,8
motherwell,1995,22,15,9
rangers,1995,23,56,0
celtic,1995,23,54,1
aberdeen,1995,23,34,2
hibernian,1995,23,32,3
hearts,1995,23,31,4
raith rvs,1995,23,29,5
kilmarnock,1995,23,26,6
partick,1995,23,20,7
falkirk,1995,23,19,8
motherwell,1995,23,16,9
rangers,1995,24,56,0
celtic,1995,24,55,1
aberdeen,1995,24,37,2
hearts,1995,24,34,3
hibernian,1995,24,33,4
raith rvs,1995,24,29,5
kilmarnock,1995,24,27,6
partick,1995,24,23,7
motherwell,1995,24,19,8
falkirk,1995,24,19,9
rangers,1995,25,59,0
celtic,1995,25,58,1
aberdeen,1995,25,40,2
hearts,1995,25,37,3
hibernian,1995,25,33,4
raith rvs,1995,25,29,5
kilmarnock,1995,25,27,6
partick,1995,25,23,7
falkirk,1995,25,22,8
motherwell,1995,25,19,9
rangers,1995,26,62,0
celtic,1995,26,59,1
aberdeen,1995,26,40,2
hearts,1995,26,37,3
hibernian,1995,26,33,4
raith rvs,1995,26,32,5
kilmarnock,1995,26,30,6
falkirk,1995,26,23,7
partick,1995,26,23,8
motherwell,1995,26,22,9
rangers,1995,27,65,0
celtic,1995,27,62,1
aberdeen,1995,27,40,2
hearts,1995,27,40,3
hibernian,1995,27,36,4
raith rvs,1995,27,32,5
kilmarnock,1995,27,30,6
motherwell,1995,27,25,7
falkirk,1995,27,23,8
partick,1995,27,23,9
rangers,1995,28,68,0
celtic,1995,28,65,1
aberdeen,1995,28,43,2
hearts,1995,28,40,3
hibernian,1995,28,36,4
raith rvs,1995,28,35,5
kilmarnock,1995,28,30,6
motherwell,1995,28,28,7
falkirk,1995,28,23,8
partick,1995,28,23,9
rangers,1995,29,69,0
celtic,1995,29,66,1
aberdeen,1995,29,44,2
hearts,1995,29,41,3
hibernian,1995,29,37,4
raith rvs,1995,29,36,5
motherwell,1995,29,31,6
kilmarnock,1995,29,30,7
partick,1995,29,26,8
falkirk,1995,29,23,9
rangers,1995,30,72,0
celtic,1995,30,67,1
aberdeen,1995,30,47,2
hearts,1995,30,41,3
hibernian,1995,30,37,4
raith rvs,1995,30,36,5
kilmarnock,1995,30,33,6
motherwell,1995,30,32,7
partick,1995,30,29,8
falkirk,1995,30,23,9
rangers,1995,31,75,0
celtic,1995,31,70,1
aberdeen,1995,31,47,2
hearts,1995,31,44,3
hibernian,1995,31,38,4
raith rvs,1995,31,36,5
motherwell,1995,31,35,6
kilmarnock,1995,31,34,7
partick,1995,31,29,8
falkirk,1995,31,23,9
rangers,1995,32,75,0
celtic,1995,32,71,1
aberdeen,1995,32,50,2
hearts,1995,32,47,3
raith rvs,1995,32,39,4
hibernian,1995,32,38,5
motherwell,1995,32,38,6
kilmarnock,1995,32,35,7
partick,1995,32,29,8
falkirk,1995,32,23,9
rangers,1995,33,78,0
celtic,1995,33,74,1
aberdeen,1995,33,51,2
hearts,1995,33,50,3
raith rvs,1995,33,39,4
hibernian,1995,33,38,5
motherwell,1995,33,38,6
kilmarnock,1995,33,38,7
partick,1995,33,30,8
falkirk,1995,33,23,9
rangers,1995,34,81,0
celtic,1995,34,77,1
aberdeen,1995,34,52,2
hearts,1995,34,51,3
kilmarnock,1995,34,41,4
raith rvs,1995,34,40,5
hibernian,1995,34,39,6
motherwell,1995,34,38,7
partick,1995,34,30,8
falkirk,1995,34,23,9
rangers,1995,35,84,0
celtic,1995,35,80,1
hearts,1995,35,54,2
aberdeen,1995,35,52,3
raith rvs,1995,35,43,4
kilmarnock,1995,35,41,5
hibernian,1995,35,40,6
motherwell,1995,35,38,7
partick,1995,35,30,8
falkirk,1995,35,24,9
rangers,1995,36,87,0
celtic,1995,36,83,1
aberdeen,1995,36,55,2
hearts,1995,36,55,3
raith rvs,1995,36,43,4
hibernian,1995,36,43,5
kilmarnock,1995,36,41,6
motherwell,1995,36,39,7
partick,1995,36,30,8
falkirk,1995,36,24,9
aberdeen,1996,0,0,0
celtic,1996,0,0,1
dundee united,1996,0,0,2
motherwell,1996,0,0,3
hibernian,1996,0,0,4
kilmarnock,1996,0,0,5
rangers,1996,0,0,6
raith rvs,1996,0,0,7
dunfermline,1996,0,0,8
hearts,1996,0,0,9
kilmarnock,1996,1,3,0
rangers,1996,1,3,1
hearts,1996,1,3,2
aberdeen,1996,1,1,3
celtic,1996,1,1,4
dundee united,1996,1,1,5
motherwell,1996,1,1,6
hibernian,1996,1,0,7
raith rvs,1996,1,0,8
dunfermline,1996,1,0,9
rangers,1996,2,6,0
celtic,1996,2,4,1
kilmarnock,1996,2,3,2
hibernian,1996,2,3,3
hearts,1996,2,3,4
aberdeen,1996,2,2,5
motherwell,1996,2,2,6
dundee united,1996,2,1,7
dunfermline,1996,2,1,8
raith rvs,1996,2,0,9
rangers,1996,3,9,0
celtic,1996,3,7,1
hearts,1996,3,6,2
aberdeen,1996,3,5,3
motherwell,1996,3,5,4
hibernian,1996,3,4,5
kilmarnock,1996,3,3,6
dunfermline,1996,3,2,7
dundee united,1996,3,1,8
raith rvs,1996,3,0,9
rangers,1996,4,12,0
celtic,1996,4,10,1
aberdeen,1996,4,8,2
hearts,1996,4,6,3
motherwell,1996,4,5,4
dunfermline,1996,4,5,5
kilmarnock,1996,4,4,6
hibernian,1996,4,4,7
dundee united,1996,4,1,8
raith rvs,1996,4,0,9
rangers,1996,5,15,0
celtic,1996,5,13,1
aberdeen,1996,5,11,2
hibernian,1996,5,7,3
motherwell,1996,5,6,4
dunfermline,1996,5,6,5
hearts,1996,5,6,6
kilmarnock,1996,5,4,7
dundee united,1996,5,1,8
raith rvs,1996,5,0,9
rangers,1996,6,18,0
celtic,1996,6,16,1
aberdeen,1996,6,11,2
hibernian,1996,6,10,3
motherwell,1996,6,7,4
hearts,1996,6,7,5
dunfermline,1996,6,6,6
kilmarnock,1996,6,4,7
raith rvs,1996,6,3,8
dundee united,1996,6,1,9
rangers,1996,7,21,0
celtic,1996,7,16,1
aberdeen,1996,7,11,2
motherwell,1996,7,10,3
hearts,1996,7,10,4
hibernian,1996,7,10,5
dunfermline,1996,7,9,6
dundee united,1996,7,4,7
kilmarnock,1996,7,4,8
raith rvs,1996,7,3,9
rangers,1996,8,21,0
celtic,1996,8,19,1
aberdeen,1996,8,14,2
hibernian,1996,8,13,3
hearts,1996,8,11,4
motherwell,1996,8,10,5
dunfermline,1996,8,9,6
dundee united,1996,8,5,7
kilmarnock,1996,8,5,8
raith rvs,1996,8,4,9
rangers,1996,9,22,0
celtic,1996,9,20,1
aberdeen,1996,9,15,2
hibernian,1996,9,14,3
hearts,1996,9,12,4
motherwell,1996,9,11,5
dunfermline,1996,9,10,6
kilmarnock,1996,9,8,7
dundee united,1996,9,6,8
raith rvs,1996,9,4,9
rangers,1996,10,25,0
celtic,1996,10,23,1
aberdeen,1996,10,18,2
hibernian,1996,10,14,3
dunfermline,1996,10,13,4
hearts,1996,10,12,5
motherwell,1996,10,11,6
dundee united,1996,10,9,7
kilmarnock,1996,10,8,8
raith rvs,1996,10,4,9
rangers,1996,11,26,0
celtic,1996,11,26,1
aberdeen,1996,11,18,2
hearts,1996,11,15,3
hibernian,1996,11,14,4
dunfermline,1996,11,13,5
dundee united,1996,11,12,6
motherwell,1996,11,11,7
kilmarnock,1996,11,11,8
raith rvs,1996,11,5,9
rangers,1996,12,29,0
celtic,1996,12,26,1
aberdeen,1996,12,19,2
hearts,1996,12,18,3
dunfermline,1996,12,16,4
hibernian,1996,12,15,5
dundee united,1996,12,13,6
motherwell,1996,12,11,7
kilmarnock,1996,12,11,8
raith rvs,1996,12,5,9
rangers,1996,13,32,0
celtic,1996,13,27,1
aberdeen,1996,13,22,2
hearts,1996,13,19,3
dunfermline,1996,13,17,4
hibernian,1996,13,15,5
motherwell,1996,13,14,6
dundee united,1996,13,13,7
kilmarnock,1996,13,11,8
raith rvs,1996,13,8,9
rangers,1996,14,35,0
celtic,1996,14,27,1
aberdeen,1996,14,22,2
hearts,1996,14,20,3
hibernian,1996,14,18,4
dunfermline,1996,14,17,5
dundee united,1996,14,14,6
motherwell,1996,14,14,7
kilmarnock,1996,14,11,8
raith rvs,1996,14,11,9
rangers,1996,15,35,0
celtic,1996,15,30,1
aberdeen,1996,15,25,2
hearts,1996,15,21,3
dunfermline,1996,15,20,4
hibernian,1996,15,18,5
dundee united,1996,15,17,6
motherwell,1996,15,17,7
kilmarnock,1996,15,14,8
raith rvs,1996,15,12,9
rangers,1996,16,38,0
celtic,1996,16,33,1
aberdeen,1996,16,28,2
hearts,1996,16,21,3
dundee united,1996,16,20,4
dunfermline,1996,16,20,5
hibernian,1996,16,18,6
motherwell,1996,16,17,7
raith rvs,1996,16,15,8
kilmarnock,1996,16,14,9
rangers,1996,17,41,0
celtic,1996,17,36,1
aberdeen,1996,17,29,2
dunfermline,1996,17,23,3
dundee united,1996,17,21,4
hearts,1996,17,21,5
hibernian,1996,17,19,6
motherwell,1996,17,18,7
kilmarnock,1996,17,17,8
raith rvs,1996,17,15,9
rangers,1996,18,44,0
celtic,1996,18,36,1
aberdeen,1996,18,29,2
dunfermline,1996,18,23,3
hibernian,1996,18,22,4
dundee united,1996,18,21,5
hearts,1996,18,21,6
kilmarnock,1996,18,20,7
motherwell,1996,18,18,8
raith rvs,1996,18,15,9
rangers,1996,19,47,0
celtic,1996,19,39,1
aberdeen,1996,19,29,2
dundee united,1996,19,24,3
hearts,1996,19,24,4
dunfermline,1996,19,23,5
hibernian,1996,19,22,6
kilmarnock,1996,19,20,7
motherwell,1996,19,18,8
raith rvs,1996,19,15,9
rangers,1996,20,50,0
celtic,1996,20,42,1
aberdeen,1996,20,30,2
dundee united,1996,20,27,3
hearts,1996,20,27,4
dunfermline,1996,20,26,5
hibernian,1996,20,23,6
kilmarnock,1996,20,20,7
motherwell,1996,20,18,8
raith rvs,1996,20,15,9
rangers,1996,21,53,0
celtic,1996,21,45,1
dundee united,1996,21,30,2
aberdeen,1996,21,30,3
hearts,1996,21,30,4
dunfermline,1996,21,29,5
hibernian,1996,21,23,6
kilmarnock,1996,21,20,7
motherwell,1996,21,18,8
raith rvs,1996,21,15,9
rangers,1996,22,56,0
celtic,1996,22,48,1
dundee united,1996,22,33,2
hearts,1996,22,33,3
aberdeen,1996,22,30,4
dunfermline,1996,22,29,5
hibernian,1996,22,23,6
motherwell,1996,22,21,7
kilmarnock,1996,22,21,8
raith rvs,1996,22,18,9
rangers,1996,23,57,0
celtic,1996,23,51,1
dundee united,1996,23,36,2
hearts,1996,23,33,3
aberdeen,1996,23,30,4
dunfermline,1996,23,29,5
kilmarnock,1996,23,24,6
hibernian,1996,23,23,7
motherwell,1996,23,21,8
raith rvs,1996,23,18,9
rangers,1996,24,60,0
celtic,1996,24,54,1
dundee united,1996,24,39,2
hearts,1996,24,33,3
aberdeen,1996,24,31,4
dunfermline,1996,24,29,5
motherwell,1996,24,24,6
kilmarnock,1996,24,24,7
hibernian,1996,24,23,8
raith rvs,1996,24,19,9
rangers,1996,25,61,0
celtic,1996,25,54,1
dundee united,1996,25,42,2
aberdeen,1996,25,34,3
hearts,1996,25,34,4
dunfermline,1996,25,32,5
hibernian,1996,25,24,6
motherwell,1996,25,24,7
kilmarnock,1996,25,24,8
raith rvs,1996,25,20,9
rangers,1996,26,64,0
celtic,1996,26,57,1
dundee united,1996,26,43,2
